Series,Title,Author,Details
,Angel Station,Walter Jon Williams,`Amazon <https://amzn.com/1521498008>`_
,Burning Chrome,William Gibson,`Amazon <https://amzn.com/B00ICMWZH4>`_
,Do Androids Dream of Electric Sheep?,Philip K. Dick,`Amazon <https://amzn.com/B000SEGTI0>`_
,Islands in the Net,Bruce Sterling,`Amazon <https://amzn.com/B00PDDKVXK>`_
,Snow Crash: A Novel,Neal Stephenson,`Amazon <https://amzn.com/B000FBJCJE>`_
,Synners,Pat Cadigan,`Amazon <https://amzn.com/0575119543>`_
,The Artificial Kid,Bruce Sterling,`Amazon <https://amzn.com/B00PDDKVWQ>`_
,Trouble and Her Friends,Melissa Scott,`Amazon <https://amzn.com/1590216008>`_
Hardwired,Hardwired, Walter Jon Williams,`Amazon <https://amzn.com/B08NMKDYZT>`_
,Voice of the Whirlwind,,`Amazon <https://amzn.com/1549848518>`_
Sprawl Trilogy,Nueromancer,William Gibson,`Amazon <https://amzn.com/0441007465>`_
,Count Zero,,`Amazon <https://amzn.com/0441013678>`_
,Mona Lisa Overdrive,,`Amazon <https://amzn.com/0006480446>`_
The Budayeen Cycle,When Gravity Fails,George Alec Effinger,`Amazon <https://amzn.com/0765313588>`_
,A Fire in the Sun,,`Amazon <https://amzn.com/0765313596>`_
,The Exile Kiss,,`Amazon <https://amzn.com/076531360X>`_
