Series,Title,Details
Core,Core Rule Book 2nd Edition,`DriveThruRPG <https://www.drivethrurpg.com/product/50354/Cyberpunk-2020-The-Second-Edition-Version-201>`_
,,:ref:`Stacks <HZp9ZZktOL>`
Supplements,Dark Metropolis,`DriveThruRPG <https://www.drivethrurpg.com/product/966/Dark-Metropolis>`_
,,:ref:`Stacks <muDpmRBZg3>`
,Deep Space,`DriveThruRPG <https://www.drivethrurpg.com/product/55633/Deep-Space>`_
,,:ref:`Stacks <R6maRktjfn>`
,Hard Wired,`DriveThruRPG <https://www.drivethrurpg.com/product/2275/HardWired-the-Sourcebook>`_
,,:ref:`Stacks <tDdcHZLjzb>`
,Home of the Brave,`DriveThruRPG <https://www.drivethrurpg.com/product/127821/Home-of-the-Brave>`_
,,:ref:`Stacks <dZ6ypUFCbF>`
,Wild Side,`DriveThruRPG <https://www.drivethrurpg.com/product/58782/Wildside>`_
,,:ref:`Stacks <FP1qPhkgRL>`
